,Daily Mean Returns,Standard Deviation
VOOV,0.0002931512251969272,0.00817329009946562
EZU,0.00012533051838592037,0.010617366345980558
IWM,0.0003001955243749599,0.01022573006705488
SMH,0.000857071242424036,0.014656020301886293
IBB,0.00021847797759360396,0.015204951647772713
XLU,0.0003591131886011731,0.00876133781580882
VOOG,0.0005099371634389829,0.009015119278778707
SPY,0.0004054369936831823,0.00845620617810835
QQQ,0.0006732178409991288,0.010814180642108083
BKF,0.00023658633212589048,0.012704810217684203
EEM,0.0001310344972553146,0.01190135381133551
AIA,0.0002939396545185272,0.011704437269661338
